1;2908.56;10.00;1437.29;small
2;3488.71;10.00;1252.81;small
3;3323.73;10.00;1491.95;small
4;3040.80;10.00;1272.71;small
5;3387.00;10.00;1361.00;small
6;3262.77;10.00;1225.45;small
7;2098.88;10.00;1269.00;small
8;2438.47;10.00;1483.19;small
9;2400.02;10.00;1318.21;small
10;2745.23;10.00;1154.25;small
11;2497.78;10.00;1291.16;small
12;2079.66;10.00;1339.38;small
13;2807.21;10.00;1120.73;small
14;3408.52;10.00;1841.67;small
15;2997.78;10.00;1714.34;small
16;3338.31;10.00;1705.33;small
17;2140.39;10.00;1864.15;small
18;2722.00;10.00;1973.50;small
19;2791.51;10.00;1954.14;small
20;2192.32;10.00;1599.62;small
21;2523.49;10.00;1737.88;small
22;2076.51;10.00;1715.82;small
23;2116.00;10.00;1636.00;small
24;3449.43;10.00;853.54;small
25;3216.82;10.00;830.80;small
26;2818.77;10.00;666.36;small
27;3570.02;10.00;553.62;small
28;2979.80;10.00;966.81;small
29;3260.44;10.00;905.43;small
30;3074.45;10.00;684.54;small
31;3560.69;10.00;748.15;small
32;3580.54;10.00;600.72;small
33;3414.46;10.00;515.50;small
34;2206.77;10.00;873.22;small
35;2269.83;10.00;805.44;small
36;2319.19;10.00;605.30;small
37;2714.20;10.00;956.18;small
38;2579.54;10.00;975.28;small
39;2462.16;10.00;951.63;small
40;2402.59;10.00;703.29;small
41;3128.81;10.00;469.58;small
42;3296.80;10.00;496.46;small
43;2942.32;10.00;475.35;small
44;3149.28;10.00;128.76;small
45;3506.89;10.00;413.36;small
46;3750.15;10.00;382.70;small
47;3371.78;10.00;366.74;small
48;3642.76;10.00;250.35;small
49;2988.92;10.00;340.26;small
50;3359.02;10.00;324.46;small
51;3266.76;10.00;504.31;small
52;2306.54;10.00;194.60;small
53;2443.04;10.00;416.97;small
54;4247.14;10.00;249.53;small
55;3803.84;10.00;439.35;small
56;3756.33;10.00;340.02;small
57;3763.93;10.00;180.23;small
58;4246.26;10.00;770.60;small
59;3775.19;10.00;536.14;small
60;5175.17;10.00;767.68;small
61;1375.76;10.00;1286.53;small
62;1424.95;10.00;749.33;small
63;1382.42;10.00;1786.11;small
64;1390.91;10.00;238.84;small
65;473.64;10.00;1296.39;small
66;454.67;10.00;1811.31;small
67;4217.99;10.00;1795.53;small
68;5146.02;10.00;1276.43;small
69;451.77;10.00;766.48;small
70;463.01;10.00;243.50;small
71;5182.79;10.00;263.07;small
72;4198.82;10.00;1289.46;small
73;5151.89;10.00;1784.21;small
